,qc.1,S4,S8,prep.blank.1,S3,S1,qc.2,S6,S5,S7,S2,qc.3
C0001,22452271.88,17236377.78,21413867.56,7433.872683,92631.26788,83907.33161,634135.96,13788.86224,255401.2275,17166822.47,92112.82476,9163.545858
C0002,4509216.981,7592276.891,3592364.178,1412203.573,99693.7125,114255.242,60800.82489,116877.4028,131054.0017,8178248.722,99812.19469,87124.40225
C0003,4682.672865,3117.841705,2727.5081,241759.4717,11650.79985,2665.800149,6224.588285,2409.904721,3348.485731,3985.950887,1812.079574,1693.530111
C0004,33971.68639,8323.385372,9488.226655,1091205.519,8749.185356,3687.430013,2090.517708,6537.538884,1894.00065,8580.853591,5911.010586,2709.784666
C0005,3837421.319,5211705.677,3879385.126,1713.784835,1449.939832,2698.705108,26164.79983,776.0704052,2328.554877,4386695.846,2350.261225,702.254625
C0006,40629.28285,6140.877608,15763.90015,1404051.064,6593.785977,3798.311134,225099.311,4617.152044,291566.7366,13308.89822,2425.66086,3780.20595
C0007,1051899.709,2894959.454,3157153.86,1640.276547,2991.702587,897.2541276,19598.83249,1082.619345,2929.420658,2961078.719,1907.686067,2091.958829
C0008,3906.041855,3852.477525,1240.21792,1332754.93,1777.174517,785.0009722,1386.416472,1071.265664,1067.283478,3713.602974,963.3380608,973.6322975
C0009,2865592.153,916186.3444,3073114.612,37740776.95,31512977.81,14038327.63,62048921.55,21035225.39,77439816.82,1234944.535,22666912.97,22914266.21
C0010,2130021.112,743952.0617,637890.9915,103043564.9,258349.3613,172131.9641,148582.785,829991.1699,159693.1069,443430.5635,181028.7841,354883.2582
